libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.5-1
libdca 0.0.6-1
libdiscid 0.6.2-1
libdmx 1.1.4-1
libdrm 2.4.94-1
libdv 1.0.0-7
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libedit 20180525_3.1-1
libelf 0.171-1
libepoxy 1.5.2-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libfdk-aac 0.1.6-1
libffi 3.2.1-2
libfontenc 1.1.3-2
libfreexl 1.0.5-1
libftdi 1.4-2
libgadu 1.12.2-6
libgcrypt 1.8.3-1
libgdiplus 5.6-1
libgdm 3.30.0+4+g839c9501-1
libgeotiff 1.4.2-2
libgexiv2 0.10.8-2
libglade 2.6.4-6
libglvnd 1.1.0-1
libgme 0.6.2-1
libgpg-error 1.32-1
libgudev 232-1
libgusb 0.3.0-1
libgweather 3.28.2-1
libgxps 0.3.0-1
libibus 1.5.19-1
libical 3.0.3-3
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.0.5-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+66+g5a85432-2
libinput 1.12.0-2
libjpeg-turbo 2.0.0-1
libksba 1.3.5-1
libldap 2.4.46-2
liblouis 3.7.0-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmagick 7.0.8.11-1
libmariadbclient 10.1.36-1
libmemcached 1.0.18-3
libmm-glib 1.8.0-2
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-5
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-6
libndp 1.6-1
libnewt 0.52.20-2
libnftnl 1.1.1-1
libnghttp2 1.33.0-1
libnice 0.1.14+70+gfb2f1f7-1
libnl 3.4.0-1
libnm 1.14.0-1
libnm-glib 1.14.0-1
libnm-gtk 1.8.18-2
libnma 1.8.18-2
libnotify 0.7.7-1
libnsl 1.2.0-1
libofa 0.9.3-7
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
libopenssl-1.0-compat 1.0.2.k-3
libpaper 1.1.24-10
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.35-1
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libpurple 2.13.0-5
libraqm 0.5.0-1
libraw1394 2.1.2-1
librsvg 2:2.44.2-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-3
libsigc++ 2.10.0-1
libsm 1.2.2-3
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.64.0+7+g1dd3333a-1
libsoxr 0.1.3-1
libspatialite 4.3.0.a-3
libspectre 0.2.8-1
libsrtp 1:2.2.0-1
libssh 0.8.2-1
libssh2 1.8.0-2
libsynctex 2018.47465-3
libsystemd 239.2-1
libtasn1 4.13-1
libteam 1.27-2
libtermkey 0.20-2
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-2
libunistring 0.9.10-1
libunwind 1.2.1-1
libusb 1.0.22-1
libusb-compat 0.1.5-2
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-3
libutil-linux 2.32.1-2
libuv 1.23.0-1
libva 2.2.0-2
libvdpau 1.1.1+3+ga21bf7a-1
libvisual 0.4.0-7
libvoikko 4.1.1-2
libvorbis 1.3.6-1
libvpx 1.7.0-1
libvterm 0.1.git1.c4317a6-3
libwacom 0.30-1
libwbclient 4.8.5-1
libwebp 1.0.0-1
libwnck 2.31.0-2
libx11 1.6.6-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfce4ui 4.12.1-2
libxfce4util 4.13.2-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxml2 2.9.8-4
libxmu 1.1.2-2
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.1.7-1
libzip 1.5.1-1
licenses 20171006-1
linux 4.18.8.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20180825.fea76a0-1
lirc 1:0.10.1-2
lld 6.0.1-1
llvm-libs 6.0.1-4
lm_sensors 3.4.0+5176+dcf23676-1
lmdb 0.9.22-1
logrotate 3.14.0-1
luajit 2.0.5-1
lvm2 2.02.181-1
lz4 1:1.8.2-2
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
mariadb 10.1.36-1
mariadb-clients 10.1.36-1
mdadm 4.0-1
media-player-info 23-1
meld 3.19.0-3
memcached 1.5.10-1
mesa 18.2.0-1
mirage 0.9.5.2-5
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.29.2-1
mobile-broadband-provider-info 20170310-1
mono 5.14.0.177-1
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
mplayer 38101-2
msgpack-c 3.1.1-1
mtdev 1.1.5-2
mutter 3.30.0-2
nano 3.0-2
ncurses 6.1-3
ncurses5-compat-libs 6.0+20161224-1
ndctl 62-2
neon 0.30.2-3
neovim 0.3.1-1
net-tools 1.60.20180212git-1
netcdf 4.6.1-2
netctl 1.18-1
nettle 3.4-1
networkmanager 1.14.0-1
networkmanager-openvpn 1.8.4-1
nm-connection-editor 1.8.18-2
node-gyp 3.8.0-1
nodejs 10.10.0-1
noto-fonts 20180322-1
npm 6.4.1-1
npth 1.6-1
nspr 4.20-1
nss 3.39-1
ntfs-3g 2017.3.23-2
openal 1.19.0-1
opencore-amr 0.1.5-1
opencsg 1.4.2-2
openexr 2.3.0-1
openjade 1.3.2-5
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openscad 2015.03.03-17
opensp 1.5.2-8
openssh 7.8p1-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
openvpn 2.4.6-1
opus 1.2.1-1
orc 0.4.28-1
p11-kit 0.23.14-1
p7zip 16.02-5
package-query 1.9-3
pacman 5.1.1-1
pacman-mirrorlist 20180912-1
pam 1.3.1-1
pambase 20171006-1
pango 1.42.4-1
pangomm 2.40.1-2
paprefs 1.0-1
parted 3.2-6
patch 2.7.6-1
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.6.1-1
pcre 8.42-1
pcre2 10.32-1
perl 5.28.0-1
perl-error 0.17026-2
perl-mailtools 2.20-2
perl-sgmls 1:1.1-5
perl-timedate 2.30-5
perl-uri 1.74-2
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-7
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
perl-xml-sax-expat 0.51-5
phonon-qt5 4.10.1-2
phonon-qt5-gstreamer 4.9.0-5
php 7.2.10-1
php-apache 7.2.10-1
php-cgi 7.2.10-1
php-gd 7.2.10-1
php-pgsql 7.2.10-1
phppgadmin 5.1-4
pidgin 2.13.0-5
pinentry 1.1.0-4
pipewire 0.2.3-1
pixman 0.34.0-1
pkcs11-helper 1.23-1
pkgconf 1.5.3-1
polkit 0.115+3+g8638ec5-1
polkit-qt5 0.112.0+git20180107-2
poppler 0.67.0-1
poppler-glib 0.67.0-1
popt 1.16-9
postgis 2.4.4-5
postgresql 10.5-1
postgresql-libs 10.5-1
ppp 2.4.7-4
pptpclient 1.10.0-1
pptpd 1.4.0-1
procps-ng 3.3.15-1
proj 5.1.0-1
protobuf 3.6.1-1
protobuf-c 1.3.1-1
psmisc 23.1-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
putty 0.70-2
pycharm-professional 2018.2.3-1
pygobject-devel 3.30.1-3
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.0-4
python-appdirs 1.4.3-2
python-botocore 1.12.6-1
python-cairo 1.17.0-2
python-colorama 0.3.9-2
python-dateutil 2.7.3-2
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-docutils 0.14-2
python-gobject 3.30.1-3
python-jmespath 0.9.3-2
python-packaging 17.1-2
python-pyasn1 0.4.4-1
python-pylibmc 1.5.2-2
python-pyparsing 2.2.1-1
python-rsa 4.0-1
python-s3transfer 0.1.13-4
python-setuptools 1:40.4.1-1
python-six 1.11.0-3
python-urllib3 1.23-2
python-yaml 3.13-2
python2 2.7.15-2
python2-appdirs 1.4.3-2
python2-beautifulsoup4 4.6.3-1
python2-cairo 1.17.0-2
python2-chardet 3.0.4-2
